State,State Funding Types,State Prioritization,Facility Assessment Requirements,Equity Measures
Hawaii,Hawaii is a single school district and funds projects directly.,"The state currently prioritizes building age and condition, student demographics, building health and safety, and maintenance needs. Proposed priorities include (1) health and safety or condition, (2)  compliance, (3) building capacity, (4) instructional impact, (5) Title I, (6) comprehensive support and improvement, (7) shared use, and (8) other. ",No requirement.,"The current formula accounts for four program areas: capacity, equity, program support, and condition. A new proposed prioritization criteria uses a weighted scoring metric that accounts for socioeconomic and academic needs."
Idaho,"The state provides revenue for maintenance and operation, subsidies for bond repayment, and a fund for unsafe schools unable to approve bond levies for repair.",No prioritization is specified. ,"There is a state requirement, but few districts submit.","The Bond Levy Equalization Support Program provides subsidies based on district property value, unemployment rate, and per capita income."
Illinois,"The state provides grants to local school districts for approved projects, and 20 percent of funding is allocated to Chicago Public Schools. ","The state prioritizes (in order) (1) repairing or replacing buildings destroyed or damaged by disasters, (2) alleviating a shortage of classrooms because of population growth or to replace or rehabilitate aging buildings, (3) supporting interdistrict reorganization, (4) repairing or replacing buildings that are health or safety hazards, (5) providing accessibility for people with disabilities, and (6) other unique solutions to facility needs. Eligibility is based on enrollment and district needs.",The State Board of Education and the Capital Development Board file a comprehensive needs assessment of all districts every two years ,Not applicable.
Indiana,"The state offers capital construction loans to qualifying school districts and projects, which must be repaid. No grant aid is provided.","The state prioritizes districts (in order) that (1) sustained a loss from disaster, (2) have an assessed valuation per average daily membership within the lowest 40 percent, and (3) have outstanding loans above 7.5 percent as of July 1, 1993.",No requirement. ,Not applicable.
Iowa,The state provides matching grant aid to local school districts.,"The state prioritizes (1) increasing school capacity, (2) addressing safety issues, (3) facilitating school district reorganization, and (4) helping districts receiving minimal revenue through the Secure an Advanced Vision for Education program, relative to enrollment.",No requirement. ,The state’s share of funding is based on the district’s property tax capacity per pupil and the sales tax capacity per pupil.
Kansas,"The state supplements property tax revenue with capital outlay state aid. The median district is eligible for 25 percent state aid. The state also allows districts to issue bonds, and provides equalization, where the lowest-valuation district receives 75 percent state aid.","The state prioritizes projects addressing safety and disability access, enrollment growth, improved delivery of educational services, and energy usage. ",No requirement.,"Districts are ranked based on assessed valuation per pupil, where districts with lower valuations get more support."
Kentucky,"The state provides support through capital outlay funds (based on enrollment), debt service payments on bonds, and equalization of tax revenue for the district’s building fund. ","The state prioritizes (in order) (1) new construction or major renovations that are expected to start within two years of facility plan development, (2) new construction or major renovations that are expected to start more than two years after facility plan development, (3) expansion of noneducational areas (e.g., kitchens, cafeterias, auditoriums, and gyms), (4) expansions of management support areas (e.g., central offices, bus terminals, and central stores), and (5) discretionary projects, including any facility with an estimated cost exceeding $20,000. ",The state requires districts to conduct assessments once every four years.,Equalization of revenue is based on property assessments. Debt service payment support is determined by facility need minus available local revenues.
Louisiana,The state provides no funding for school capital projects. ,Not applicable. ,No requirement.,Not applicable.
Maine,The state provides the majority of support for capital projects through subsidies for school construction and forgivable loans for school renovation. ,"Construction projects are rated for priority on a 200-point scale. The categories are unsafe conditions (55 points), obsolete or unsuitable (35), overcrowding (27), enrollment shifts (18), and program and planning (65). Renovations are prioritized for health, safety, and compliance first. ",Districts are required to conduct assessments.,The School Revolving Renovation Fund provides zero-interest loans for renovation projects. It provides loan forgiveness rates ranging from 30 to 70 percent based on the state share paid to the district. 
Maryland,"The state provides grant funding for building construction, renovation, and replacement of major building systems, with the state’s share determined by county wealth measures with a minimum of 50 percent and a maximum of 100 percent.","The state prioritizes educational adequacy, building condition, state mandates or initiatives on educational policies, and anticipated enrollments. Other small capital programs may have different requirements, such as a competitive grant based on the highest relative health remediation need in the state. The Public School Facilities Priority Fund, which will begin operating in fiscal year 2027, will prioritize the schools with the highest need statewide in terms of physical condition and educational adequacy as determined by a statewide facilities assessment.",The state conducts assessments.,"The state’s share for each county is based on the current amount of state aid, the district’s share of students receiving free and reduced-price meals, the district unemployment rate, median household income, enrollment, and the district’s current outstanding construction debt. Project-specific increases to the state share are provided when a school has a population with a high concentration of poverty."
Massachusetts,"The state provides matching reimbursement funds for individual projects, with reimbursement ranging from a base of 31 percent to 80 percent of costs. ","The state prioritizes (in order)  (1) structurally unsound or unsafe conditions, (2) current severe overcrowding, (3) preventing accreditation loss, (4) preventing projected overcrowding, (5) improving heating systems for energy conservation, (6) short-term enrollment growth, (7) providing additional programs, and (8) transitioning from court-ordered and authority-approved racially balanced school districts.",The state conducts assessments.,"Base reimbursement rates are adjusted based on three socioeconomic factors: (1) a community income factor, a district’s per capita income as a percentage of statewide average per capita income; (2) a community property wealth factor, a district’s per capita equalized property valuations as a share of statewide average per capita valuations; and (3) a community poverty factor, a district’s proportion of low-income students. Additional support is provided for construction contributing to racial balance."
Michigan,"Projects are funded entirely through local tax revenues. The state provides loans when the districts cannot pay for the capital project, but the state must be repaid.",Not applicable. ,No requirement.,Not applicable.
Minnesota,Districts may issue bonds for projects or use funds from the state general funding formula. Districts with small property tax bases per pupil can obtain support for repaying the bond or can obtain state grant or loan aid. Long-Term Facilities Maintenance state grants support facility maintenance.,No prioritization.,Districts must submit a 10-year facilities plan.,Districts with low tax-base wealth per student or high debt for capital projects are eligible for additional subsidies. 
Mississippi,"The state provides a small amount of funds based on average daily attendance, which can be used for capital expenses or debt service.",No prioritization,No requirement.,Not applicable.
Missouri,The state provides no funding for school capital projects. ,Not applicable. ,No requirement.,Not applicable.
Montana,The state provides two streams of state funding for capital projects: School Major Maintenance Aid Account grants and Debt Service Guaranteed Tax Base Aid.  ,"School districts are required to accumulate funds for capital projects in a Building Reserve Fund. Each district may maintain subfunds for school safety and security, publicly approved building reserve levies for future construction or land purchase, school maintenance and repair, and transition levies.",Districts are required to conduct assessments.,State support is based on student count and is higher for districts with lower taxable valuation.
Nebraska,The state provides no funding for school capital projects.,Not applicable. ,No requirement. ,Not applicable.
Nevada,The state provides no funding for school capital projects.,Not applicable.,No requirement. ,Not applicable.
New Hampshire,"The state guarantees bonds and provides grant aid to districts, ranging from 30 to 60 percent of project costs (average is 38 percent). ","Proposals are scored on 11 criteria, including safety, compliance, overcrowding, enrollment projections, and maintenance history.",No requirement. ,"Grants are scaled to median family income and property tax valuation per pupil. One criterion for scoring proposals is fiscal capacity (e.g., the share of students eligible for free and reduced-price meals)."
New Jersey,"The state fully funds Abbott districts (which tend to have high economic and academic need), and funds non-Abbott districts at either 40 percent of project cost or their state aid share, whichever is greater.","The state prioritizes Abbott district projects and (in order) (1) health and safety, required early childhood programs, and projects that address overcrowding; (2) educational adequacy (specialized nongeneral classroom space); (3) technology or school consolidation projects; and (4) all other projects.",Districts are required to conduct assessments.,Districts with a state aid percentage of at least 55 percent and Abbott districts are fully financed for approved costs by the state.
New Mexico,The state provides matching grants for capital projects based on a ranking of facility need. The state match ranges from 6 to 100 percent. ,"The New Mexico Condition Index weights building deficiencies, with highest weight for systems needing immediate repair because of health or safety. Other priorities are (in order) adequacy of space, mitigation of damage, facility adequacy, equipment adequacy, state or district recommendation, and outdated or normal lifecycle updates.",The state conducts assessments.,"The amount of the state match is currently based on the combination of two formulas: (1) factors such as district wealth, membership, and tax mills; and (2) a ratio of taxable value relative to replacement cost of maximum square footage per student, divided by expected lifetime and weighted for population density."
New York,"The state provides reimbursement for capital projects through Building Aid. For the average district, the state share is 49 percent.","Funding eligibility is based on the district’s facilities needs assessment summary, enrollment projections, Instructional Space Review, five-year capital facilities plan, proposed floor plans, and specific educational programs the district offers.",Districts are required to conduct assessments.,"The state’s share of funding depends on the district’s total taxable property value. The state will contribute more toward districts with less wealth. High-need districts are eligible for the High Need Supplemental Building Aid Ratio, with the state funding up to 98 percent of project costs."
North Carolina,"The state provides grant funding to districts. The Public School Building Capital Fund funds construction projects, based largely on student membership; the Needs-Based Public School Capital Fund (NBPSCF) provides funds for counties or cities with low wealth; and the Public School Building Repair and Renovation Fund funds repair and renovation projects.","The NBPSCF prioritizes (1) counties designated as economically distressed, (2) counties with greater need and less ability to generate tax revenue, (3) counties with high debt-to-tax-revenue ratios, (4) how a project will address critical deficiencies in serving current and future students, (5) new construction or complete renovation projects, (6) projects consolidating schools, and (7) counties that have not received a grant in the previous three years.",Districts are required to conduct assessments every five years.,NBPSCF provides additional funding to school districts with lower wealth.
North Dakota,The state offers application-based loans to help fund projects and provides one-time competitive grants for capital projects.,"The loan fund prioritizes student occupancy and academic needs, age of existing structures, building design proposals based on safety and vulnerability assessments, community support, and cost",No requirement. ,Not applicable.
Ohio,"The state provides aid to districts, with the state share dependent on local district property wealth per pupil where districts with less property wealth receive a higher share. ","The state maintains an equity list ranked by district property wealth per pupil to prioritize districts. It also maintains a priority list for exceptional needs, which are (in order) (1) districts that are prioritized from the equity list, (2) districts with large enrollment increases, (3) districts that are merging or undergoing other structural changes, (4) districts with extreme environmental needs, (5) multidistrict STEM (science, technology, engineering, and mathematics) schools, and (6) joint vocational school district projects.",The state conducts assessments.,Districts with lower property and income wealth per pupil get first priority for funding (equity list).
Oklahoma,"Districts raise their own funds for capital expenditures but must request approval for projects from the state. In 2022, the state created Redbud School grants to help equalize school funding.","Districts may request use of 5 percent or $50,000 of the district’s general fund for capital expenditures. ",No requirement. ,Districts and eligible charter schools with per student revenue from property tax and building funds below the state average are eligible for equalization.
Oregon,The district provides matching grants for capital projects funded by local bonds. Amounts are decided by a formula based on local revenue per weighted enrollment. ,Districts must submit a Facilities Assessment and Long-Range Facility Plan before applying for state funds. The Priority List starts with the assessed tax values per weighted average daily membership in each district that are then adjusted by a poverty factor. Districts are ranked from lowest assessed tax value per weighted average daily membership to highest. ,Yearly assessments are required at the district level. ,The state prioritizes districts with high poverty rates and low assessed property values
Pennsylvania,"School districts can seek reimbursement from the state through a process known as “PlanCon.” Each school building can get reimbursement only once every 20 years unless otherwise approved, and alteration costs have to be more than 20 percent of the building’s replacement value.","For reimbursement, districts must bring the entire school building up to prevailing educational and construction standards, provide a district-wide facility study, evaluate early childhood infrastructure, consider building high-performance green buildings, and consider reuse, especially for historical buildings. ",Districts are required to conduct assessments.,"The Department of Education has a separate maintenance program from the PlanCon process. Projects are prioritized based on a rubric considering school property wealth, prior grant receipt, building conditions, emergencies, safety, and security."
Rhode Island,"The state offers three avenues for state aid for approved capital projects: Housing Aid reimbursement, School Construction Bond pay-as-you-go funding, or Small Business Administration Capital Fund progress payments. Housing Aid reimburses at least 35 percent of the project, based on the district’s ability to pay. The Statewide School Construction Bond is $250 million and is offered on a pay-as-you-go basis. ","Housing Aid offers incentive bonuses for school safety, security, and regionalization and six additional temporary bonuses. The Statewide School Construction Bond offers 5 percent bonus incentives for school security, health and safety, educational enhancements, replacing facilities with a Facility Condition Index of 65 percent or higher, increasing utilization, decreasing overcrowding, and consolidating two or more school buildings. The Facility Equity Initiative prioritizes projects based on the community’s need, the number of students affected, the project timeline, and high-impact visual enhancements. ",The state conducts assessments.,The state’s share of housing aid is determined by district wealth per student; districts with less wealth receive more funding. The Facility Equity Initiative provides $10 million in funding to prioritize the five low-wealth districts with base reimbursement rates over 65 percent. Funding increased to $30 million for 2022–23. The 21st Century Technology and Equipment Fund includes an equity boost that provides 40 percent more funding to the five communities most in need.
South Carolina,"The state provides reimbursements for approved capital projects. Districts are ranked by property tax base, per capita income, and building needs.","The state prioritizes funding specifically for school consolidation, the development of shared school facilities, and upgrades in high-poverty or low-wealth districts, with priority to districts that serve less than 1,500 students.",The state conducts assessments.,The funding amount considers district wealth and income.
South Dakota,The state provides no funding for school capital projects.,Not applicable. ,No requirement. ,"“Sparse school districts” receive additional funding not to exceed $110,000 per fiscal year."
Tennessee,"The state funds capital expenditures through annual capital outlay. Amount is dependent on grade level enrollment. Generally, Tennessee splits the costs evenly with local districts, but the state match may vary depending on the district’s capacity to raise local funds. Starting in 2023–24, the state will begin funding schools through a new state funding formula, the Tennessee Investment in Student Achievement. There are no specific funding components for capital outlays. But there will be additional funds available (outside the formula) for stipends to districts with rapid enrollment growth.",The state has no priorities but makes special provisions for school districts with rapid enrollment growth.,No requirement. ,"The state provides additional funding for districts with low property wealth. The new Tennessee Investment in Student Achievement funding formula is built on a base funding amount for each enrolled student with additional funds based on extra weighting for economically disadvantaged students and those who attend schools with concentrated poverty."
Texas,"The state guarantees bonds and provides assistance through tax rate equalization, guaranteeing up to $0.29 per $100 of assessed value, and debt service assistance, providing a guaranteed yield of $35 per penny of tax effort per student.",Not applicable. ,No requirement. ,"Debt service funding is scaled to per student district property value, as well as the size of debt service payments. "
Utah,The state provides a guaranteed level of foundation funding for capital projects based on districts’ property tax effort and property tax yield per student. Additional funding is available for small school districts. The state also provides capital outlay funding to school districts experiencing net enrollment increases.,Not applicable.,Districts are required to conduct assessments.,Districts with less property tax wealth receive more state funding.
Vermont,"The school construction aid program is currently suspended, and the state funds only approved emergency projects and projects currently under way. The state recently enacted a law that charges the state superintendent to assess all school facilities and hire a consultant to design a funding process for Vermont.","The state has no priorities, as districts must currently fund all facilities projects. ",No requirement. ,Not applicable. 
Virginia,"The state offers bond financing assistance, and a small program, the Literary Fund, provides low-interest loans for eligible districts, with subsidies based on district ability to pay education costs. ",Not applicable.,No requirement. ,"Literary Fund ability to pay is based on property value (weighted 50 percent), adjusted gross income (40 percent), and taxable retail sales (10 percent). "
Washington,"The state offers two main programs for capital project funding: (1) the School Construction Assistance Program, which requires a match of local funding with the state’s share based on the school district’s property value per student compared with the statewide average; and (2) the Small School District and State-Tribal Education Compact Modernization grants, which fully fund projects less than $5 million for districts enrolling less than 1,000 students. ","The state uses a points system to rank projects. Projects to address enrollment growth are scored out of 90 points, with more points based on share of current and projected unhoused students and duration of need. Modernization projects are scored out of 75 points for building condition and health and safety. Both types of projects are scored on type of space, local priority, availability of local or private funding, and use of a modified school calendar. The Small School District and State-Tribal Education Compact Modernization grants have priorities determined by a state advisory with school facility experience. ","The state has requirements, with a grant provided to districts to conduct an assessment every six year. Every six years, a district is entitled to apply for a study and survey grant, which is state funding for a planning document. The study and survey grant pays for a district to hire a consultant to perform an inventory and condition assessment of each of the instructional buildings. The funding pays for long-term planning and educational specifications.","The state’s share is based on a district’s ability to generate wealth from property taxes, with additional state assistance available for mitigating racially imbalanced facilities. Additional points are given to districts that have a high participation in free and reduced-price lunch programs. "
West Virginia,"The state provides grants for capital projects, with amounts determined by current and projected enrollment multiplied by a square footage allowance per student, which varies by level or school.","The state has no priorities, but proposals for funding must describe how facilities will meet criteria around health and safety, economies of scale, student travel time, regional planning, curricular improvement, educational innovation, space, local bond history, preventive maintenance, and efficient use of funding.",Districts are required to conduct assessments every 10 years.,Not applicable.
Wisconsin,The state provides no funding for school capital projects.,Not applicable. ,No requirement. ,Not applicable.
Wyoming,"The state provides grants that fund the full amount of every successful major capital project application. Grant applications are considered via a combined score of a facility condition assessment, educational functionality, and a prioritized needs index identifying the most critical projects across the state. ","The state prioritizes projected school and district capacity (55 percent of the grant application score) and the facility condition index (45 percent). Facility condition includes an assessment of structure, interiors, services, equipment, special facilities, site, and accessibility.",The state conducts assessments.,Not applicable.
